fixture_id,date,odds_source,fetched_at_utc,home,away,home_norm,away_norm,bookmaker_count,ou_line,ou_over,ou_under
1388369,2025-10-17 18:30:00+0000,apifootball,2025-10-16 14:37:30,Union Berlin,Borussia Mönchengladbach,union berlin,borussia mönchengladbach,11,2.5,1.87,2.1
1390906,2025-10-17 19:00:00+0000,apifootball,2025-10-16 14:37:31,Oviedo,Espanyol,oviedo,espanyol,11,2.5,2.39,1.69
1379045,2025-10-18 11:30:00+0000,apifootball,2025-10-16 14:37:32,Nottingham Forest,Chelsea,nottingham forest,chelsea,11,2.5,1.78,2.21
1390907,2025-10-18 12:00:00+0000,apifootball,2025-10-16 14:37:32,Sevilla,Mallorca,sevilla,mallorca,11,2.5,2.29,1.73
1388363,2025-10-18 13:30:00+0000,apifootball,2025-10-16 14:37:33,1.FC Köln,FC Augsburg,1 köln,augsburg,11,2.5,1.68,2.39
1388365,2025-10-18 13:30:00+0000,apifootball,2025-10-16 14:37:34,1. FC Heidenheim,Werder Bremen,1 heidenheim,werder bremen,11,2.5,1.74,2.28
1388366,2025-10-18 13:30:00+0000,apifootball,2025-10-16 14:37:34,FSV Mainz 05,Bayer Leverkusen,fsv mainz 05,bayer leverkusen,11,2.5,1.83,2.14
1388367,2025-10-18 13:30:00+0000,apifootball,2025-10-16 14:37:35,RB Leipzig,Hamburger SV,rb leipzig,hamburger sv,11,2.5,1.38,3.2
1388370,2025-10-18 13:30:00+0000,apifootball,2025-10-16 14:37:35,VfL Wolfsburg,VfB Stuttgart,vfl wolfsburg,vfb stuttgart,11,2.5,1.66,2.45
1379039,2025-10-18 14:00:00+0000,apifootball,2025-10-16 14:37:36,Brighton,Newcastle,brighton,newcastle,11,2.5,1.91,2.04
1379040,2025-10-18 14:00:00+0000,apifootball,2025-10-16 14:37:37,Burnley,Leeds,burnley,leeds,11,2.5,2.34,1.71
1379041,2025-10-18 14:00:00+0000,apifootball,2025-10-16 14:37:37,Crystal Palace,Bournemouth,crystal palace,bournemouth,11,2.5,1.98,1.96
1379044,2025-10-18 14:00:00+0000,apifootball,2025-10-16 14:37:38,Manchester City,Everton,manchester city,everton,11,2.5,1.77,2.23
1379046,2025-10-18 14:00:00+0000,apifootball,2025-10-16 14:37:38,Sunderland,Wolves,sunderland,wolves,11,2.5,2.55,1.62
1390901,2025-10-18 14:15:00+0000,apifootball,2025-10-16 14:37:39,Barcelona,Girona,barcelona,girona,11,2.5,1.27,4.1
1379042,2025-10-18 16:30:00+0000,apifootball,2025-10-16 14:37:40,Fulham,Arsenal,fulham,arsenal,11,2.5,1.99,1.96
1388362,2025-10-18 16:30:00+0000,apifootball,2025-10-16 14:37:40,Bayern München,Borussia Dortmund,bayern münchen,borussia dortmund,11,2.5,1.34,3.55
1390908,2025-10-18 16:30:00+0000,apifootball,2025-10-16 14:37:41,Villarreal,Real Betis,villarreal,real betis,11,2.5,1.79,2.19
1390900,2025-10-18 19:00:00+0000,apifootball,2025-10-16 14:37:41,Atletico Madrid,Osasuna,atletico madrid,osasuna,11,2.5,1.94,2.0
1390903,2025-10-19 12:00:00+0000,apifootball,2025-10-16 14:37:42,Elche,Athletic Club,elche,athletic,11,2.5,2.46,1.64
1379047,2025-10-19 13:00:00+0000,apifootball,2025-10-16 14:37:43,Tottenham,Aston Villa,tottenham,aston villa,11,2.5,1.87,2.08
1388364,2025-10-19 13:30:00+0000,apifootball,2025-10-16 14:37:43,SC Freiburg,Eintracht Frankfurt,freiburg,eintracht frankfurt,11,2.5,1.66,2.43
1390902,2025-10-19 14:15:00+0000,apifootball,2025-10-16 14:37:44,Celta Vigo,Real Sociedad,celta vigo,real sociedad,11,2.5,2.08,1.92
1379043,2025-10-19 15:30:00+0000,apifootball,2025-10-16 14:37:44,Liverpool,Manchester United,liverpool,manchester united,11,2.5,1.52,2.75
1388368,2025-10-19 15:30:00+0000,apifootball,2025-10-16 14:37:45,FC St. Pauli,1899 Hoffenheim,st pauli,1899 hoffenheim,11,2.5,1.87,2.08
1390905,2025-10-19 16:30:00+0000,apifootball,2025-10-16 14:37:46,Levante,Rayo Vallecano,levante,rayo vallecano,11,2.5,2.01,1.94
1390904,2025-10-19 19:00:00+0000,apifootball,2025-10-16 14:37:46,Getafe,Real Madrid,getafe,real madrid,11,2.5,2.08,1.9
1379048,2025-10-20 19:00:00+0000,apifootball,2025-10-16 14:37:47,West Ham,Brentford,west ham,brentford,11,2.5,1.89,2.06
1390899,2025-10-20 19:00:00+0000,apifootball,2025-10-16 14:37:48,Alaves,Valencia,alaves,valencia,11,2.5,2.63,1.58
1388379,2025-10-24 18:30:00+0000,apifootball,2025-10-16 14:37:48,Werder Bremen,Union Berlin,werder bremen,union berlin,4,2.5,1.45,2.88
