date,sport_key,league_id,season,fixture_id,home,away,odds_source,recommended_market,recommended_side,recommended_book,recommended_price,model_prob,implied_prob,fair_odds,edge_pp,edge_pct,best_EV,kelly_best,odds_h,odds_d,odds_a,p_hat_h,p_hat_d,p_hat_a,league_name,days_to_match,home_norm,away_norm,status_short,status_long,home_id,away_id,home_rank,away_rank,rank_diff,home_points,away_points,points_diff,home_goalsDiff,away_goalsDiff,goalsdiff_diff,home_form5_pts,home_form5_gd,away_form5_pts,away_form5_gd,home_wins5,home_draws5,home_losses5,home_rest_days,away_wins5,away_draws5,away_losses5,away_rest_days,p_entry_h,p_entry_d,p_entry_a,overround,home_goals_for_avg,home_goals_against_avg,home_win_rate,home_draw_rate,home_loss_rate,home_cs_rate,home_fts_rate,away_goals_for_avg,away_goals_against_avg,away_win_rate,away_draw_rate,away_loss_rate,away_cs_rate,away_fts_rate,home_shots_for_pg,home_shots_on_for_pg,home_shots_against_pg,home_shots_on_against_pg,away_shots_for_pg,away_shots_on_for_pg,away_shots_against_pg,away_shots_on_against_pg,home_corners_for_pg,home_corners_against_pg,away_corners_for_pg,away_corners_against_pg,home_yc_pg,home_rc_pg,away_yc_pg,away_rc_pg,home_possession_avg,away_possession_avg,home_injuries_30d,away_injuries_30d,league_home_win_rate,h2h_games,h2h_pts_home,h2h_gd_home,h2h_win_rate_home,src_book_h,src_book_d,src_book_a,bookmaker_count,EV_H,kelly_H,EV_D,kelly_D,EV_A,kelly_A,best_side,imp_h,imp_d,imp_a,fair_h,fair_d,fair_a,edge_pp_h,edge_pp_d,edge_pp_a,edge_price_h,edge_price_d,edge_price_a,stake,why
2025-10-25 13:30:00+00:00,soccer_germany_bundesliga,78,2025,1388373,Borussia Mönchengladbach,Bayern München,apifootball,1X2,Home,Bet365,15.0,0.2350546722102184,0.06666666666666667,4.254329388975777,16.83880055435517,2.5258200831532758,2.5258200831532758,0.04510393005630849,15.0,8.75,1.22,0.2350546722102184,0.15458996322402727,0.6103553645657543,Bundesliga,9.574187482314816,borussia mönchengladbach,bayern münchen,NS,Not Started,163,157,17,1,16,3,18,-15,-7,22,-29,2.0,-5.0,15.0,16.0,0.0,2.0,3.0,8.041666666666666,5.0,0.0,0.0,7.916666666666667,0.06662505851146824,0.11421438601965984,0.8191605554688719,0.0006245120999219811,0.8,2.0,0.0,0.5,,0.3333333333333333,0.6666666666666666,4.2,0.5,1.0,0.0,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,14.0,14.0,0.4074074074074074,0.0,,,,Bet365,1xBet,Bet365,3.0,2.5258200831532758,0.04510393005630849,0.3526621782102386,0.011376199297104471,-0.25536645522977974,0.0,H,0.06666666666666667,0.11428571428571428,0.819672131147541,4.254329388975777,6.46872525967827,1.6383897939710315,16.83880055435517,4.030424893831299,-20.931676658178667,2.5258200831532758,0.3526621782102386,-0.25536645522977974,451.0393005630849,form5_pts(H-A): -13.00 | rank_diff(H-A): +16.00 | injuries30d(A-H): +0.00 | overround: -0.00 | EV: +252.6% | Kelly: 4.5%
2025-10-19 19:00:00+00:00,soccer_spain_la_liga,140,2025,1390904,Getafe,Real Madrid,apifootball,1X2,Home,Unibet,9.0,0.3757248375741729,0.1111111111111111,2.6615222098607925,26.46137264630618,2.3815235381675564,2.3815235381675564,0.07442261056773614,9.0,4.6,1.45,0.3757248375741729,0.2677171578495577,0.35655800457626935,La Liga,3.8033541489814815,getafe,real madrid,NS,Not Started,546,541,11,1,10,11,21,-10,-2,10,-12,5.0,-2.0,12.0,4.0,1.0,2.0,2.0,6.291666666666667,4.0,0.0,1.0,7.197916666666667,0.10912958115183244,0.21351439790575916,0.6773560209424083,0.018157587872730474,1.1,1.4,0.375,0.25,,0.25,0.25,2.4,1.1,0.875,0.0,,0.375,,,,,,,,,,,,,,,,,,,,,,0.4875,0.0,,,,Unibet,Unibet,Betano,3.0,2.3815235381675564,0.07442261056773614,0.23149892610796519,0.01607631431305314,-0.4829908933644095,0.0,H,0.1111111111111111,0.2173913043478261,0.6896551724137931,2.6615222098607925,3.7352854334496746,2.80459276517545,26.46137264630618,5.032585350173157,-33.30971678375238,2.3815235381675564,0.23149892610796519,-0.4829908933644095,500.0,form5_pts(H-A): -7.00 | rank_diff(H-A): +10.00 | overround: -0.02 | EV: +238.2% | Kelly: 7.4%
2025-10-18 14:15:00+00:00,soccer_spain_la_liga,140,2025,1390901,Barcelona,Girona,apifootball,1X2,Draw,Unibet,7.5,0.25570808702179054,0.13333333333333333,3.910709323459072,12.237475368845722,0.9178106526634289,0.9178106526634291,0.035300409717824194,1.2,7.5,13.5,0.6956966743209475,0.25570808702179054,0.04859523865726184,La Liga,2.6054374823148145,barcelona,girona,NS,Not Started,529,547,2,18,-16,19,6,13,13,-12,25,12.0,9.0,2.0,-11.0,4.0,1.0,0.0,6.90625,0.0,3.0,2.0,7.802083333333333,0.8007117437722421,0.12811387900355872,0.07117437722419928,0.040740740740740744,2.8,1.1,0.75,0.125,,0.375,,0.6,2.1,0.125,0.375,,0.125,0.5,,,,,,,,,,,,,,,,,,,,,0.4875,0.0,,,,Betano,Unibet,Betano,3.0,-0.165163990814863,0.0,0.9178106526634291,0.035300409717824194,-0.3439642781269652,0.0,D,0.8333333333333334,0.13333333333333333,0.07407407407407407,1.4374080499609625,3.910709323459072,20.57814772868833,-13.763665901238586,12.237475368845722,-2.547883541681223,-0.165163990814863,0.9178106526634289,-0.3439642781269652,353.0040971782419,form5_pts(H-A): +10.00 | rank_diff(H-A): -16.00 | overround: -0.04 | EV: +91.8% | Kelly: 3.5%
2025-10-19 12:00:00+00:00,soccer_spain_la_liga,140,2025,1390903,Elche,Athletic Club,apifootball,1X2,Home,Betano,3.55,0.5194711591904249,0.28169014084507044,1.9250346863499799,23.77810183453544,0.8441226151260082,0.8441226151260082,0.0827571191300008,3.55,3.2,2.2,0.5194711591904249,0.27589125512935325,0.20463758568022195,La Liga,3.5116874823148145,elche,athletic,NS,Not Started,797,531,7,8,-1,13,13,0,2,0,2,8.0,0.0,4.0,-3.0,3.0,2.0,0.0,6.90625,1.0,1.0,3.0,6.895833333333333,0.26859977107974053,0.29797787104158713,0.4334223578786722,0.04873559539052508,1.4,1.1,0.375,0.5,,0.25,,1.1,1.1,0.5,0.125,,0.125,0.375,,,,,,,,,,,,,,,,,,,,,0.4875,0.0,,,,Betano,Unibet,Betano,3.0,0.8441226151260082,0.0827571191300008,-0.11714798358606959,0.0,-0.5497973115035117,0.0,H,0.28169014084507044,0.3125,0.45454545454545453,1.9250346863499799,3.624616516138375,4.886687832423197,23.77810183453544,-3.6608744870646746,-24.99078688652326,0.8441226151260082,-0.11714798358606959,-0.5497973115035117,500.0,form5_pts(H-A): +4.00 | rank_diff(H-A): -1.00 | overround: -0.05 | EV: +84.4% | Kelly: 8.3%
2025-10-18 16:30:00+00:00,soccer_epl,39,2025,1379042,Fulham,Arsenal,apifootball,1X2,Home,Unibet,5.8,0.3165906914367853,0.1724137931034483,3.1586525663837253,14.417689833333702,0.8362260103333548,0.8362260103333548,0.043553438038195565,5.8,4.2,1.57,0.3165906914367853,0.18492154554925355,0.4984877630139611,Premier League,2.6991874823148145,fulham,arsenal,NS,Not Started,36,42,14,1,13,8,16,-8,-3,11,-14,6.0,-3.0,10.0,8.0,2.0,1.0,2.0,5.25,3.0,1.0,1.0,5.9375,0.16460309535696457,0.22730903644533199,0.6080878681977034,0.04745170635792206,1.1,1.6,0.2857142857142857,0.2857142857142857,,0.14285714285714285,0.14285714285714285,2.0,0.4,0.7142857142857143,0.14285714285714285,,0.5714285714285714,0.14285714285714285,,,,,,,,,,,,,,,,,,,3.0,11.0,0.4857142857142857,0.0,,,,Unibet,Betano,Unibet,3.0,0.8362260103333548,0.043553438038195565,-0.22332950869313506,0.0,-0.21737421206808105,0.0,H,0.1724137931034483,0.23809523809523808,0.6369426751592356,3.1586525663837253,5.407698692057771,2.0060672983300356,14.417689833333702,-5.317369254598453,-13.845491214527456,0.8362260103333548,-0.22332950869313506,-0.21737421206808105,435.53438038195566,form5_pts(H-A): -4.00 | rank_diff(H-A): +13.00 | injuries30d(A-H): +8.00 | overround: -0.05 | EV: +83.6% | Kelly: 4.4%
2025-10-25 19:00:00+00:00,soccer_epl,39,2025,1379052,Brentford,Liverpool,apifootball,1X2,Home,1xBet,5.16,0.3551952150111057,0.19379844961240308,2.81535324164976,16.13967653987026,0.8328073094573054,0.8328073094573054,0.05004851619334768,5.16,4.96,1.61,0.3551952150111057,0.32276249445591376,0.32204229053298056,Premier League,9.803354148981482,brentford,liverpool,NS,Not Started,55,40,16,2,14,7,15,-8,-3,4,-7,4.0,-4.0,9.0,1.0,2.0,1.0,2.0,8.166666666666666,4.0,0.0,1.0,7.104166666666667,0.19064717285636523,0.19833455885863804,0.6110182682849966,0.016529365260569806,1.3,1.7,0.2857142857142857,0.14285714285714285,,0.14285714285714285,0.14285714285714285,1.9,1.3,0.7142857142857143,0.0,,0.2857142857142857,,,,,,,,,,,,,,,,,,,,5.0,12.0,0.4857142857142857,0.0,,,,1xBet,1xBet,1xBet,4.0,0.8328073094573054,0.05004851619334768,0.6009019725013323,0.03793573058720532,-0.48151191224190126,0.0,H,0.19379844961240308,0.20161290322580647,0.6211180124223602,2.81535324164976,3.0982534128871357,3.105182236609354,16.13967653987026,12.11495912301073,-29.907572188937966,0.8328073094573054,0.6009019725013323,-0.48151191224190126,500.0,form5_pts(H-A): -5.00 | rank_diff(H-A): +14.00 | injuries30d(A-H): +7.00 | overround: -0.02 | EV: +83.3% | Kelly: 5.0%
2025-10-18 16:30:00+00:00,soccer_germany_bundesliga,78,2025,1388362,Bayern München,Borussia Dortmund,apifootball,1X2,Away,Betano,8.0,0.21541667517007992,0.125,4.6421661610479354,9.041667517007992,0.7233334013606394,0.7233334013606394,0.025833335762879977,1.35,5.8,8.0,0.6355369947232135,0.14904633010670654,0.21541667517007992,Bundesliga,2.6991874823148145,bayern münchen,borussia dortmund,NS,Not Started,157,165,1,2,-1,18,14,4,22,8,14,15.0,16.0,13.0,8.0,5.0,0.0,0.0,7.916666666666667,4.0,1.0,0.0,7.0,0.7135168383822852,0.16607719514070432,0.12040596647701063,0.038154533844188876,4.2,0.5,1.0,0.0,,0.6666666666666666,,2.0,0.7,0.6666666666666666,0.3333333333333333,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,14.0,13.0,0.4074074074074074,0.0,,,,Betano,Unibet,Betano,3.0,-0.14202505712366176,0.0,-0.13553128538110215,0.0,0.7233334013606394,0.025833335762879977,A,0.7407407407407407,0.1724137931034483,0.125,1.573472525286299,6.7093231969151566,4.6421661610479354,-10.520374601752724,-2.336746299674175,9.041667517007992,-0.14202505712366176,-0.13553128538110215,0.7233334013606394,258.3333576287998,form5_pts(H-A): +2.00 | rank_diff(H-A): -1.00 | injuries30d(A-H): -1.00 | overround: -0.04 | EV: +72.3% | Kelly: 2.6%
2025-10-19 16:30:00+00:00,soccer_spain_la_liga,140,2025,1390905,Levante,Rayo Vallecano,apifootball,1X2,Home,Unibet,2.85,0.5806182304119841,0.3508771929824561,1.7223021042422986,22.9741037429528,0.6547619566741547,0.6547619566741547,0.08848134549650741,2.85,3.5,2.55,0.5806182304119841,0.2563307087428118,0.16305106084520418,La Liga,3.6991874823148145,levante,rayo vallecano,NS,Not Started,539,728,13,14,-1,8,8,0,-1,-2,1,8.0,3.0,4.0,-3.0,1.0,2.0,2.0,7.0,0.0,2.0,3.0,7.1875,0.3410719403840642,0.27773000859845226,0.38119805101748355,0.02874834144183991,1.6,1.8,0.25,0.25,,0.25,0.125,1.0,1.3,0.25,0.25,,0.125,0.375,,,,,,,,,,,,,,,,,,,,,0.4875,0.0,,,,Unibet,Betano,Unibet,3.0,0.6547619566741547,0.08848134549650741,-0.10284251940015876,0.0,-0.5842197948447294,0.0,H,0.3508771929824561,0.2857142857142857,0.3921568627450981,1.7223021042422986,3.90121029549895,6.133048106625753,22.9741037429528,-2.938357697147392,-22.91058018998939,0.6547619566741547,-0.10284251940015876,-0.5842197948447294,500.0,form5_pts(H-A): +4.00 | rank_diff(H-A): -1.00 | overround: -0.03 | EV: +65.5% | Kelly: 8.8%
2025-10-24 18:30:00+00:00,soccer_germany_bundesliga,78,2025,1388379,Werder Bremen,Union Berlin,apifootball,1X2,Draw,Betfair,3.9,0.38848192537741416,0.25641025641025644,2.5741223327919047,13.207166896715773,0.5150795089719151,0.5150795089719151,0.044403405945854756,2.18,3.9,3.37,0.3797178406850971,0.38848192537741416,0.23180023393748864,Bundesliga,8.782520815648148,werder bremen,union berlin,NS,Not Started,162,182,12,13,-1,7,7,0,-5,-5,0,4.0,-6.0,4.0,-6.0,1.0,1.0,3.0,7.791666666666667,2.0,1.0,2.0,5.833333333333333,0.45333820830861354,0.25340443438789173,0.2932573573034948,0.011861757785041949,1.5,2.3,0.3333333333333333,0.16666666666666666,,0.3333333333333333,0.3333333333333333,1.3,2.2,0.3333333333333333,0.16666666666666666,,0.16666666666666666,0.5,,,,,,,,,,,,,,,,,,,17.0,13.0,0.4074074074074074,0.0,,,,1xBet,Betfair,1xBet,4.0,-0.17221510730648826,0.0,0.5150795089719151,0.044403405945854756,-0.21883321163066327,0.0,D,0.4587155963302752,0.25641025641025644,0.29673590504451036,2.633534411224327,2.5741223327919047,4.3140594943043835,-7.8997755645178085,13.207166896715773,-6.493567110702172,-0.17221510730648826,0.5150795089719151,-0.21883321163066327,444.0340594585476,form5_pts(H-A): +0.00 | rank_diff(H-A): -1.00 | injuries30d(A-H): -4.00 | overround: -0.01 | EV: +51.5% | Kelly: 4.4%
2025-10-18 13:30:00+00:00,soccer_germany_bundesliga,78,2025,1388365,1. FC Heidenheim,Werder Bremen,apifootball,1X2,Draw,Unibet,3.7,0.388825549498283,0.27027027027027023,2.571847455215686,11.85552792280128,0.43865453314364733,0.43865453314364733,0.04061616047626364,2.85,3.7,2.4,0.3930779274590026,0.388825549498283,0.2180965230427144,Bundesliga,2.5741874823148145,1 heidenheim,werder bremen,NS,Not Started,180,162,18,12,6,3,7,-4,-7,-5,-2,3.0,-5.0,4.0,-6.0,1.0,0.0,4.0,8.0,1.0,1.0,3.0,7.791666666666667,0.3380925185608224,0.260422615648201,0.40148486579097664,0.037814129919393036,0.7,1.8,0.16666666666666666,0.0,,,0.5,1.5,2.3,0.3333333333333333,0.16666666666666666,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,18.0,17.0,0.4074074074074074,0.0,,,,Betano,Unibet,Betano,3.0,0.12027209325815758,0.016252985575426683,0.43865453314364733,0.04061616047626364,-0.47656834469748544,0.0,D,0.3508771929824561,0.27027027027027023,0.4166666666666667,2.54402481071466,2.571847455215686,4.585125824331225,4.220073447654649,11.85552792280128,-19.85701436239523,0.12027209325815735,0.43865453314364733,-0.47656834469748544,406.1616047626364,form5_pts(H-A): -1.00 | rank_diff(H-A): +6.00 | injuries30d(A-H): -1.00 | overround: -0.04 | EV: +43.9% | Kelly: 4.1%
